Source title;CiteScore;Highest percentile;2021-24 Citations;2021-24 Documents;% Cited;SNIP;SJR;Publisher
International Journal of Business and Globalisation;0,8;"17.0%
187/225
General Business, Management and Accounting";286;352;41;0,231;0,189;Inderscience Publishers
Finance a Uver - Czech Journal of Economics and Finance;0,8;"16.0%
153/182
Accounting";53;63;41;0,348;0,19;Faculty of Social Sciences, Charles University
Jurnal Kajian Bali;0,8;"89.0%
127/1160
Literature and Literary Theory";92;117;38;0,403;0,158;Udayana University
Suma de Negocios;0,8;"18.0%
171/208
Business, Management and Accounting (miscellaneous)";50;65;35;0,165;0,125;Fundacion Universitaria Konrad Lorenz
PuntOorg International Journal;0,8;"65.0%
480/1371
Cultural Studies";38;50;26;0,196;0,176;Editoriale Scientifica srl
Psihologia Resurselor Umane;0,8;"17.0%
258/313
Clinical Psychology";25;33;33;0,166;0,188;Association of Industrial and Organizational Psychology (APIO)
International Journal of Systematic Innovation;0,8;"31.0%
138/200
";83;103;37;0,285;0,141;Society of Sytematic Innovation
Revista de Historia Industrial;0,9;"82.0%
331/1850
History";56;59;56;0,853;0,175;Universitat de Barcelona
Issues in Information Systems;0,9;"19.0%
182/225
General Business, Management and Accounting";332;366;39;0,167;0,158;International Association for Computer Information Systems
New Labor Forum;0,9;"40.0%
404/674
Social Sciences (miscellaneous)";112;120;38;2,501;0,215;SAGE
Cuadernos de Turismo;0,9;"25.0%
623/841
Geography, Planning and Development";94;104;46;0,795;0,156;Universidad de Murcia
ZWF Zeitschrift fuer Wirtschaftlichen Fabrikbetrieb;0,9;"20.0%
274/344
General Engineering";656;692;40;0,42;0,271;Walter de Gruyter
International Journal of Public Sector Performance Management;0,9;"25.0%
182/242
Public Administration";225;258;36;0,396;0,195;Inderscience Publishers
International Journal of Action Research;0,9;"38.0%
926/1497
Sociology and Political Science";55;62;35;0,374;0,252;Verlag Barbara Budrich
Organizational Cultures;0,9;"18.0%
191/234
Organizational Behavior and Human Resource Management";44;49;37;0,376;0,145;Common Ground Research Networks
Journal of Risk;0,9;"18.0%
272/333
Finance";83;93;37;0,419;0,2;Incisive Media Ltd.
International Journal of Business;0,9;"19.0%
269/333
Finance";81;88;41;0,19;0,189;Chaoyang University of Technology
Journal of Investing;0,9;"19.0%
270/333
Finance";166;181;36;0,361;0,215;Portfolio Management Research
Southeast Asian Journal of Economics;0,9;"31.0%
194/284
General Economics, Econometrics and Finance";67;73;48;0,402;0,18;Chulalognkorn University
Direccion y Organizacion;0,9;"26.0%
294/402
Industrial and Manufacturing Engineering";74;80;38;0,23;0,189;ADINGOR – Asociación para el Desarrollo de la Ingeniería de Organización
Economics and Culture;0,9;"44.0%
614/1105
Law";57;65;37;0,436;0,234;Walter de Gruyter
International Journal of Knowledge-Based Development;0,9;"26.0%
140/190
Information Systems and Management";64;72;33;0,173;0,146;Inderscience Publishers
International Journal of Information and Decision Sciences;0,9;"26.0%
141/190
Information Systems and Management";74;84;40;0,237;0,162;Inderscience Publishers
International Journal of Emergency Management;0,9;"27.0%
80/110
Emergency Medicine";34;40;48;0,301;0,196;Inderscience Publishers
International Journal of Foresight and Innovation Policy;0,9;"15.0%
259/305
Management of Technology and Innovation";28;31;42;0,177;0,131;Inderscience Publishers
International Journal of Project Organisation and Management;0,9;"14.0%
424/496
Strategy and Management";72;78;46;0,231;0,161;Inderscience Publishers
International Journal of Services Technology and Management;0,9;"19.0%
278/344
General Engineering";54;60;42;0,162;0,153;Inderscience Publishers
Zeszyty Teoretyczne Rachunkowosci;0,9;"20.0%
166/208
Business, Management and Accounting (miscellaneous)";105;119;36;0,281;0,166;Scientific Council of the Accountants Association in Poland
Tasmimgiri va Tahqiq dar Amaliyyat;0,9;"29.0%
114/160
Control and Optimization";184;215;45;0,228;0,164;Research Expansion Alliance (REA)
Revista Brasileira de Marketing;0,9;"15.0%
615/731
Economics and Econometrics";139;162;41;0,264;0,159;Universidade Nove de Julho-UNINOVE
International Journal of Information Science and Management;0,9;"37.0%
179/287
Library and Information Sciences";229;250;40;0,254;0,189;Regional Information Center for Science and Technology
Contaduria y Administracion;1;"20.0%
179/225
General Business, Management and Accounting";314;304;41;0,239;0,139;Universidad Nacional Autonoma de Mexico
Rivista di Studi sulla Sostenibilita;1;"48.0%
574/1105
Law";129;131;35;0,232;0,138;Franco Angeli Edizioni
Accounting and the Public Interest;1;"17.0%
151/182
Accounting";19;20;40;0,148;0,15;American Accounting Association
Journal of Brand Strategy;1;"39.0%
324/535
Communication";111;108;40;0,234;0,288;Henry Stewart Publications
Journal of Data Protection and Privacy;1;"47.0%
576/1105
Law";91;93;39;0,365;0,175;Henry Stewart Publications
Applied Marketing Analytics;1;"18.0%
144/175
Statistics, Probability and Uncertainty";135;137;45;0,253;0,181;Henry Stewart Publications
Journal of Health and Human Services Administration;1;"23.0%
525/687
Public Health, Environmental and Occupational Health";47;47;30;0,338;0,191;SAGE
NJAS: Impact in Agricultural and Life Sciences;1;"29.0%
162/228
General Agricultural and Biological Sciences";29;29;52;0,414;0,326;Taylor & Francis
Development and Learning in Organizations;1;"39.0%
173/287
Library and Information Sciences";299;307;28;0,27;0,212;Emerald Publishing
Global Business and Economics Review;1;"18.0%
598/731
Economics and Econometrics";175;181;46;0,29;0,167;Inderscience Publishers
International Journal of Sport Management and Marketing;1;"17.0%
409/496
Strategy and Management";92;88;42;0,266;0,217;Inderscience Publishers
International Journal of Technoentrepreneurship;1;"18.0%
594/731
Economics and Econometrics";20;20;45;0,181;0,172;Inderscience Publishers
Journal of Advertising Education;1;"39.0%
323/535
Communication";35;34;50;0,377;0,235;SAGE
Journal of Law, Finance, and Accounting;1;"48.0%
569/1105
Law";21;21;38;0,713;1,08;Now Publishers Inc
Gedrag en Organisatie;1;"21.0%
185/234
Organizational Behavior and Human Resource Management";64;62;48;0,196;0,163;Amsterdam University Press
Mercados y Negocios;1;"23.0%
159/208
Business, Management and Accounting (miscellaneous)";52;51;47;0,565;0,15;Universidad de Guadalajara
International Journal of Standardization Research;1;"18.0%
770/947
Computer Science Applications";6;6;67;0,617;0,11;IGI Global Publishing
Journal for Advancement of Marketing Education;1;"28.0%
1151/1620
Education";26;26;38;0,251;0,16;Marketing Management Association
Journal of Beta Investment Strategies;1;"20.0%
264/333
Finance";101;105;44;0,929;0,328;Portfolio Management Research
Journal of Integrated Disaster Risk Management;1;"42.0%
166/288
Urban Studies";66;64;47;0,455;0,228;IDRiM Society
Spatial Economics;1;"41.0%
394/674
Social Sciences (miscellaneous)";135;138;43;0,407;0,224;Economic Research Institute, Far Eastern Branch, Russian Academy of Sciences
Journal of Tourism Analysis;1;"54.0%
238/524
Anthropology";41;42;60;0,245;0,171;Asociacion Espanola de Expertos Cientificos en Turismo
International Game Theory Review;1;"20.0%
140/175
Statistics, Probability and Uncertainty";109;107;39;0,541;0,218;World Scientific
China: An International Journal;1;"41.0%
167/285
General Social Sciences";151;148;44;0,502;0,259;Centre for Medical Education (CenMed) Yong Loo Lin School of Medicine National University of Singapore
International Journal of Applied Management Science;1;"15.0%
419/496
Strategy and Management";76;79;37;0,275;0,145;Inderscience Publishers
Management Revue;1;"20.0%
180/225
General Business, Management and Accounting";69;69;45;0,329;0,201;Nomos Verlagsgesellschaft mbH und Co KG
Revista Brasileira de Pesquisa em Turismo;1;"42.0%
387/674
Social Sciences (miscellaneous)";130;130;43;0,334;0,153;Associacao Nacional de Pesquisa e Pos-Graduacao em Turismo - ANPTUR
Journal Of Organizational Behavior Research;1;"29.0%
135/190
Information Systems and Management";134;141;49;0,028;0,104;Deniz Publication
PASOS Revista de Turismo y Patrimonio Cultural;1;"72.0%
377/1371
Cultural Studies";252;248;43;0,418;0,182;University of La Laguna
Journal of Economics and Management (Poland);1;"32.0%
177/260
Economics, Econometrics and Finance (miscellaneous)";37;38;47;0,32;0,159;University of Economics in Katowice
International Journal of Business Data Communications and Networking;1,1;"23.0%
389/507
Computer Networks and Communications";27;24;50;0,396;0,197;IGI Global Publishing
International Journal of Arts Management;1,1;"88.0%
79/676
Visual Arts and Performing Arts";87;79;43;0,36;0,272;Ecole des Hautes Etudes Commerciales
Revista Contabilidade e Financas;1,1;"26.0%
246/333
Finance";184;164;45;0,448;0,202;Universidade De Sao Paulo
Journal of Real Estate Portfolio Management;1,1;"44.0%
161/288
Urban Studies";21;20;55;0,432;0,151;Taylor & Francis
Journal of East European Management Studies;1,1;"28.0%
44/61
Industrial Relations";120;112;50;0,224;0,187;Taylor & Francis
Journal of Historical Research in Marketing;1,1;"17.0%
178/215
Marketing";63;60;43;0,697;0,234;Emerald Publishing
Economists' Voice;1,1;"37.0%
178/284
General Economics, Econometrics and Finance";94;84;46;0,599;0,345;Walter de Gruyter
Journal of Business Valuation and Economic Loss Analysis;1,1;"24.0%
251/333
Finance";12;11;55;1,109;0,193;Walter de Gruyter
Journal of Housing Research;1,1;"46.0%
156/288
Urban Studies";44;39;49;0,692;0,271;Taylor & Francis
International Journal of Work Organisation and Emotion;1,1;"23.0%
180/234
Organizational Behavior and Human Resource Management";90;79;39;0,246;0,204;Inderscience Publishers
EC Tax Review;1,1;"49.0%
554/1105
Law";106;100;51;0,756;0,421;Kluwer Law International
Journal Globalization, Competitiveness and Governability;1,1;"44.0%
375/674
Social Sciences (miscellaneous)";76;72;53;0,367;0,161;Georgetown University
International Journal of Technology Management and Sustainable Development;1,1;"32.0%
570/841
Geography, Planning and Development";70;62;48;0,181;0,136;Intellect Publishers
Information and Media;1,1;"43.0%
851/1497
Sociology and Political Science";73;69;58;0,536;0,172;Vilnius University Press
Vlakna a Textil;1,1;"25.0%
174/232
Materials Science (miscellaneous)";167;157;42;0,251;0,183;Slovak University of Technology
Revue d'Economie Industrielle;1,1;"31.0%
42/61
Industrial Relations";65;57;39;0,259;0,163;De Boeck
Corporate Law and Governance Review;1,1;"52.0%
530/1105
Law";116;103;35;0,298;0,151;Virtus Interpress
Journal of Ethnology and Folkloristics;1,1;"74.0%
349/1371
Cultural Studies";97;89;53;0,907;0,288;Walter de Gruyter
PSL Quarterly Review;1,1;"49.0%
557/1105
Law";78;74;54;0,582;0,263;Economia Civile
International Journal of Public Policy and Administration Research;1,1;"30.0%
169/242
Public Administration";35;33;39;0,274;0,146;Conscientia Beam
International Journal of Management and Sustainability;1,1;"32.0%
569/841
Geography, Planning and Development";160;140;38;0,388;0,185;Conscientia Beam
Journal of Property Tax Assessment and Administration;1,1;"50.0%
551/1105
Law";30;28;50;0,507;0,163;International Association of Assessing Officers
Engineering Project Organization Journal;1,1;"31.0%
130/190
Information Systems and Management";31;29;41;0,135;0,142;Engineering Project Organization Society (EPOS)
Finance: Theory and Practice;1,1;"37.0%
164/260
Economics, Econometrics and Finance (miscellaneous)";429;382;41;0,426;0,185;Financial University under The Government of Russian Federation
Innovations;1,1;"20.0%
583/731
Economics and Econometrics";101;95;46;0,361;0,174;De Boeck
International Journal of Empirical Economics;1,1;"35.0%
169/260
Economics, Econometrics and Finance (miscellaneous)";43;40;38;0,076;N/A;World Scientific
Quarterly Journal of Finance;1,1;"25.0%
248/333
Finance";95;85;46;0,366;0,407;World Scientific
International Journal of Multicriteria Decision Making;1,1;"18.0%
407/496
Strategy and Management";32;30;47;0,222;0,166;Inderscience Publishers
e-Review of Tourism Research;1,1;"31.0%
573/841
Geography, Planning and Development";50;45;47;0,215;0,157;Texas A and M University
IZA Journal of Labor Policy;1,1;"30.0%
43/61
Industrial Relations";38;34;47;1,054;0,451;Laborwide
Journal of Sustainable Marketing;1,1;"17.0%
177/215
Marketing";32;29;48;0,241;0,236;Luminous Insights LLC
Management and Accounting Review;1,1;"25.0%
250/333
Finance";179;163;44;0,283;0,162;Universiti Teknologi Mara
Lecturas de Economia;1,2;"47.0%
356/674
Social Sciences (miscellaneous)";98;84;35;0,328;0,156;Universidad de Antioquia
Tourism in Marine Environments;1,2;"34.0%
548/841
Geography, Planning and Development";67;54;61;0,174;0,198;Cognizant Communication Corporation
ATA Journal of Legal Tax Research;1,2;"54.0%
505/1105
Law";17;14;57;1,468;0,149;American Accounting Association
Journal of Interpretation Research;1,2;"33.0%
1071/1620
Education";28;23;48;0,456;0,17;SAGE
International Journal of Innovation and Sustainable Development;1,2;"19.0%
245/305
Management of Technology and Innovation";138;115;48;0,265;0,189;Inderscience Publishers
International Journal of Intelligent Enterprise;1,2;"20.0%
393/496
Strategy and Management";133;109;56;0,238;0,166;Inderscience Publishers
International Journal of Business Intelligence and Data Mining;1,2;"33.0%
126/190
Information Systems and Management";228;187;44;0,235;0,15;Inderscience Publishers
International Journal of Entrepreneurship and Innovation Management;1,2;"23.0%
557/731
Economics and Econometrics";91;78;45;0,317;0,237;Inderscience Publishers
International Journal of RF Technologies: Research and Applications;1,2;"32.0%
272/402
Industrial and Manufacturing Engineering";23;20;55;0,218;0,136;SAGE
Intertax;1,2;"54.0%
506/1105
Law";334;276;43;0,714;0,493;Kluwer Law International
Encontros Bibli;1,2;"44.0%
160/287
Library and Information Sciences";194;168;29;0,456;0,187;Universidade Federal de Santa Catarina
Sociologia y Tecnociencia;1,2;"46.0%
798/1497
Sociology and Political Science";130;107;57;0,676;0,266;Universidad de Valladolid
Revista Finanzas y Politica Economica;1,2;"30.0%
233/333
Finance";91;74;47;0,487;0,186;Universidad Catolica de Colombia
Journal of Economic Cooperation and Development;1,2;"49.0%
375/738
Political Science and International Relations";151;123;33;1,203;0,14;Statistical Economic and Social Research and Training Centre for Islamic Countries
Systemes d'Information et Management;1,2;"19.0%
247/305
Management of Technology and Innovation";30;26;50;0,107;0,251;Editions ESKA
Nursing Management;1,2;"24.0%
178/234
Organizational Behavior and Human Resource Management";437;361;40;0,474;0,317;Wolters Kluwer Health
Journal of International Studies (Malaysia);1,2;"49.0%
373/738
Political Science and International Relations";74;60;45;1,234;0,265;Universiti Utara Malaysia Press
Comptabilite Controle Audit;1,2;"30.0%
232/333
Finance";32;26;38;0,319;0,137;Francophone Association of Accounting
Journal of Applied Communications;1,2;"46.0%
287/535
Communication";142;116;52;0,375;0,279;New Prairie Press
IBIMA Business Review;1,2;"32.0%
1098/1620
Education";341;296;36;0,176;0,149;IBIMA Publishing
Journal of Energy Markets;1,2;"26.0%
58/78
General Energy";53;45;47;0,278;0,229;Infopro digital
ACRN Journal of Finance and Risk Perspectives;1,2;"28.0%
239/333
Finance";28;24;63;0,208;0,132;ACRN Oxford Ltd.
American Business Review;1,2;"29.0%
148/208
Business, Management and Accounting (miscellaneous)";112;97;48;0,456;0,221;Pompea College of Business, University of New Haven
Journal of Industrial Engineering and Engineering Management;1,2;"34.0%
125/190
Information Systems and Management";622;500;53;0,52;0,247;Zhejiang University
International Journal of Trade and Global Markets;1,2;"39.0%
173/284
General Economics, Econometrics and Finance";205;177;41;0,224;0,183;Inderscience Publishers
International Journal of Data Mining, Modelling and Management;1,2;"24.0%
272/361
Modeling and Simulation";96;80;49;0,282;0,161;Inderscience Publishers
International Journal of Business Continuity and Risk Management;1,2;"27.0%
127/175
Statistics, Probability and Uncertainty";106;85;49;0,386;0,185;Inderscience Publishers
Journal of Higher Education Policy and Leadership Studies;1,2;"46.0%
360/674
Social Sciences (miscellaneous)";167;145;42;0,391;0,263;Ali Khorsandi Taskoh
Argumenta Oeconomica;1,2;"24.0%
552/731
Economics and Econometrics";121;101;36;0,184;0,167;Wroclaw University of Economics
Behavioral Research in Accounting;1,3;"26.0%
134/182
Accounting";53;40;55;0,584;0,714;American Accounting Association
Business and Professional Ethics Journal;1,3;"77.0%
196/854
Philosophy";75;60;35;0,518;0,226;Philosophy Documentation Center
Journal of Payments Strategy and Systems;1,3;"35.0%
123/190
Information Systems and Management";162;129;47;0,508;0,312;Henry Stewart Publications
Business Lawyer;1,3;"56.0%
477/1105
Law";157;122;68;0,169;0,135;American Bar Association
Labor Studies Journal;1,3;"65.0%
219/630
Arts and Humanities (miscellaneous)";89;69;48;0,647;0,375;SAGE
Sequential Analysis;1,3;"27.0%
212/293
Statistics and Probability";127;96;45;0,691;0,468;Taylor & Francis
China Journal of Accounting Studies;1,3;"25.0%
136/182
Accounting";111;87;56;0,492;0,331;Taylor & Francis
Strategy and Leadership;1,3;"22.0%
385/496
Strategy and Management";142;109;44;N/A;0,162;Emerald Publishing
Polish Journal of Sport and Tourism;1,3;"31.0%
174/254
Physical Therapy, Sports Therapy and Rehabilitation";126;100;53;0,455;0,226;Walter de Gruyter
Textile History;1,3;"89.0%
204/1850
History";18;14;64;N/A;0,108;Taylor & Francis
IEEE Potentials;1,3;"36.0%
1032/1620
Education";244;182;43;0,388;0,164;IEEE
Labor History;1,3;"88.0%
209/1850
History";217;172;46;1,213;0,381;Taylor & Francis
International Journal of Services and Operations Management;1,3;"35.0%
260/402
Industrial and Manufacturing Engineering";405;317;50;0,356;0,227;Inderscience Publishers
International Journal of Revenue Management;1,3;"31.0%
229/333
Finance";53;42;43;0,364;0,173;Inderscience Publishers
International Journal of Human Resources Development and Management;1,3;"26.0%
172/234
Organizational Behavior and Human Resource Management";65;49;53;0,209;0,199;Inderscience Publishers
International Journal of Electronic Customer Relationship Management;1,3;"24.0%
171/225
General Business, Management and Accounting";40;32;50;0,314;0,172;Inderscience Publishers
International Journal of Enterprise Network Management;1,3;"21.0%
240/305
Management of Technology and Innovation";110;88;43;0,295;0,187;Inderscience Publishers
Statistical Journal of the IAOS;1,3;"29.0%
124/175
Statistics, Probability and Uncertainty";417;324;48;0,418;0,251;SAGE
Zeitschrift fur Technikfolgenabschatzung in Theorie und Praxis / Journal for Technology Assessment in Theory and Practice;1,3;"23.0%
234/305
Management of Technology and Innovation";140;105;51;0,466;0,287;Oekom - Gesellschaft fuer Oekologische Kommunikation mbH
Accounting History Review;1,3;"89.0%
193/1850
History";42;32;56;0,668;0,345;Taylor & Francis
International Journal of the Legal Profession;1,3;"56.0%
476/1105
Law";89;69;49;0,639;0,25;Taylor & Francis
Jurnal Pengurusan;1,3;"31.0%
143/208
Business, Management and Accounting (miscellaneous)";177;132;49;0,281;0,168;Penerbit Universiti Kebangsaan Malaysia
Asia-Pacific Journal of Innovation in Hospitality and Tourism;1,3;"35.0%
540/841
Geography, Planning and Development";148;116;45;0,282;0,198;Taylor's University
Journal of Operational Risk;1,3;"31.0%
229/333
Finance";82;65;51;0,622;0,255;Incisive Media Ltd.
Foundations of Management;1,3;"22.0%
383/496
Strategy and Management";90;68;46;0,196;0,162;Warsaw University of Technology
European Journal of Business Science and Technology;1,3;"32.0%
224/333
Finance";74;56;41;0,238;0,193;Mendel University in Brno
Journal of Evolutionary Studies in Business;1,3;"34.0%
204/309
Development";83;64;63;0,242;0,167;Universitat de Barcelona, Facultad de Economia y Empresa
International Journal of Analysis and Applications;1,3;"50.0%
56/111
Geometry and Topology";670;508;43;0,726;0,268;Semnan University, Center of Excellence in Nonlinear Analysis and Applications
Journal of Global Business and Technology;1,3;"22.0%
384/496
Strategy and Management";77;59;42;0,589;0,25;Global Business and Technology Association, Inc.
Journal of Logistics, Informatics and Service Science;1,3;"36.0%
121/190
Information Systems and Management";672;502;33;0,41;N/A;Success Culture Press
IZA Journal of Labor Economics;1,3;"35.0%
40/61
Industrial Relations";37;28;36;0,836;0,498;Laborwide
Revista Brasileira de Alternative Dispute Resolution;1,3;"56.0%
481/1105
Law";136;106;37;0,624;0,202;EDITORA FORUM LTDA
Humanities and Social Sciences Letters;1,3;"50.0%
141/285
General Social Sciences";278;208;45;0,373;0,181;Conscientia Beam
Tourism, Culture and Communication;1,4;"80.0%
269/1371
Cultural Studies";142;99;54;0,382;0,236;Cognizant Communication Corporation
Accounting Historians Journal;1,4;"91.0%
163/1850
History";87;61;70;0,743;0,256;American Accounting Association
Journal of International Accounting Research;1,4;"28.0%
130/182
Accounting";107;77;49;0,495;0,365;American Accounting Association
Management and Organizational History;1,4;"90.0%
175/1850
History";68;49;61;1,425;0,495;Taylor & Francis
Review of Marketing Science;1,4;"22.0%
167/215
Marketing";58;42;50;0,383;0,188;Walter de Gruyter
BioProducts Business;1,4;"40.0%
104/175
Forestry";10;7;29;0,682;0,428;Society of Wood Science and Technology
Asian Academy of Management Journal of Accounting and Finance;1,4;"33.0%
222/333
Finance";107;75;44;0,293;0,182;Universiti Sains Malaysia
Collection Management;1,4;"51.0%
141/287
Library and Information Sciences";108;75;59;0,864;0,403;Taylor & Francis
Gruppe. Interaktion. Organisation. Zeitschrift fur Angewandte Organisationspsychologie;1,4;"37.0%
1012/1620
Education";270;194;46;0,538;0,237;Springer Nature
Quality - Access to Success;1,4;"25.0%
104/139
Management Information Systems";1307;908;51;0,377;0,203;SRAC - Societatea Romana Pentru Asigurarea Calitatii
RAE Revista de Administracao de Empresas;1,4;"38.0%
38/61
Industrial Relations";253;178;55;0,4;0,265;Fundacao Getulio Vargas
Turyzm/Tourism;1,4;"52.0%
320/674
Social Sciences (miscellaneous)";146;102;49;0,434;0,216;Lodz University Press
Academica Turistica;1,4;"51.0%
138/285
General Social Sciences";112;80;61;0,375;0,213;University of Primorska
International Journal of Industrial Engineering and Production Research;1,4;"37.0%
250/402
Industrial and Manufacturing Engineering";263;188;54;0,306;0,189;Iran University of Science and Technology
Cultural Management: Science and Education;1,4;"66.0%
213/630
Arts and Humanities (miscellaneous)";78;56;43;0,394;0,178;Logos Verlag Berlin GmbH
Frontiers of Business Research in China;1,4;"37.0%
151/242
Public Administration";99;70;24;0,396;0,233;Higher Education Press
Brazilian Business Review;1,4;"30.0%
127/182
Accounting";237;164;46;0,46;0,242;FUCAPE Business School
Acta Turistica;1,4;"41.0%
152/260
Economics, Econometrics and Finance (miscellaneous)";41;30;50;0,248;0,181;University of Zagreb Faculty of Economics and Business
Folia Oeconomica Stetinensia;1,4;"44.0%
158/284
General Economics, Econometrics and Finance";170;119;49;0,259;0,167;Walter de Gruyter
Revista Galega de Economia;1,4;"90.0%
169/1850
History";128;91;51;0,446;0,201;Universidade de Santiago de Compostela
Ukrainian Geographical Journal;1,4;"73.0%
63/239
History and Philosophy of Science";164;115;52;0,743;0,244;Publishing House Akademperiodyka
Economics of Peace and Security Journal;1,4;"54.0%
334/738
Political Science and International Relations";43;30;50;0,627;0,248;EPS Publishing
Rutgers Business Review;1,4;"23.0%
380/496
Strategy and Management";123;90;44;0,503;0,338;Rutgers Business School
Canadian Journal of Educational Administration and Policy;1,4;"37.0%
1019/1620
Education";120;87;53;0,358;0,203;University of Saskatchewan, Department of Educational Administration, College of Education
Innovar;1,4;"51.0%
732/1497
Sociology and Political Science";228;167;62;0,297;0,168;Universidad Nacional de Colombia
Economic Horizons;1,4;"45.0%
156/284
General Economics, Econometrics and Finance";105;73;51;0,375;0,271;University of Kragujevac - Faculty of Economics
Jordan Journal of Business Administration;1,4;"31.0%
142/208
Business, Management and Accounting (miscellaneous)";146;107;53;0,496;0,224;University of Jordan,Deanship of Scientific Research
Proceedings on Engineering Sciences;1,4;"37.0%
253/402
Industrial and Manufacturing Engineering";570;420;32;0,623;0,217;Faculty of Engineering, University of Kragujevac
International Journal of Economics and Business Research;1,4;"43.0%
160/284
General Economics, Econometrics and Finance";325;233;42;0,316;0,204;Inderscience Publishers
International Journal of Business Performance and Supply Chain Modelling;1,4;"24.0%
377/496
Strategy and Management";96;69;51;0,201;0,161;Inderscience Publishers
Journal of Quantitative Economics;1,4;"41.0%
153/260
Economics, Econometrics and Finance (miscellaneous)";248;183;52;0,616;0,239;Springer Nature
International Journal of Comparative Labour Law and Industrial Relations;1,4;"59.0%
445/1105
Law";120;86;51;0,399;0,277;Kluwer Law International
Journal of Research Administration;1,4;"38.0%
993/1620
Education";68;47;49;0,479;0,217;Society of Research Administrators International
Market-Trziste;1,4;"43.0%
161/284
General Economics, Econometrics and Finance";72;53;53;0,206;N/A;University of Zagreb, Faculty of Economics and Business Zagreb
Institutions and Economies;1,4;"44.0%
157/284
General Economics, Econometrics and Finance";112;78;47;0,518;0,205;Faculty of Economics and Administration
Journal of Governmental and Nonprofit Accounting;1,5;"31.0%
126/182
Accounting";31;21;67;0;N/A;American Accounting Association
Journal of Real Estate Literature;1,5;"53.0%
134/288
Urban Studies";38;26;42;0,401;0,326;Taylor & Francis
Journal of Arts Management Law and Society;1,5;"92.0%
52/676
Visual Arts and Performing Arts";126;86;57;0,826;0,365;Taylor & Francis
SCHOLE: A Journal of Leisure Studies and Recreation Education;1,5;"53.0%
702/1497
Sociology and Political Science";131;88;42;0,416;0,292;Taylor & Francis
International Journal of Management Practice;1,5;"26.0%
367/496
Strategy and Management";213;146;51;0,302;0,225;Inderscience Publishers
International Journal of Networking and Virtual Organisations;1,5;"40.0%
113/190
Information Systems and Management";246;160;61;0,336;0,184;Inderscience Publishers
International Journal of Business Governance and Ethics;1,5;"29.0%
165/234
Organizational Behavior and Human Resource Management";170;110;56;0,321;0,191;Inderscience Publishers
International Journal of Logistics Systems and Management;1,5;"40.0%
114/190
Information Systems and Management";431;283;52;0,367;0,241;Inderscience Publishers
International Journal of Tourism Policy;1,5;"23.0%
115/151
Tourism, Leisure and Hospitality Management";179;116;59;0,424;0,224;Inderscience Publishers
Journal of Asian Pacific Communication;1,5;"52.0%
255/535
Communication";69;47;62;0,432;0,174;John Benjamins Publishing Company
Corporate Governance and Sustainability Review;1,5;"32.0%
124/182
Accounting";102;67;46;0,273;0,195;Virtus Interpress
Communication Today;1,5;"52.0%
252/535
Communication";152;103;51;0,884;0,239;University of SS. Cyril and Methodius, Faculty of Mass Media Communication
DETUROPE;1,5;"81.0%
251/1371
Cultural Studies";145;94;59;0,548;0,254;Regional Science Association of Subotica (Drustvo za Regionalne Nauke)
Prometheus: Critical Studies in Innovation;1,5;"26.0%
364/496
Strategy and Management";66;45;56;0,358;0,209;Pluto Journals
Science and Innovation;1,5;"61.0%
424/1105
Law";324;219;46;0,418;0,184;Publishing House Akademperiodyka
Operations Research and Decisions;1,5;"35.0%
114/175
Statistics, Probability and Uncertainty";217;144;42;0,557;0,286;Wroclaw University of Science and Technology
Financial and Credit Activity: Problems of Theory and Practice;1,5;"34.0%
218/333
Finance";1102;736;51;0,632;0,201;Fintech Aliance LLC
Electronic Journal of Business Research Methods;1,5;"26.0%
363/496
Strategy and Management";52;35;57;0,435;0,16;Academic Conferences and Publishing International Limited
Asia Marketing Journal;1,5;"25.0%
161/215
Marketing";103;69;55;0,202;0,231;Korean Marketing Association
Journal of Health Management;1,5;"34.0%
136/208
Business, Management and Accounting (miscellaneous)";435;287;45;0,383;0,273;SAGE
International Journal of Computer Information Systems and Industrial Management Applications;1,5;"31.0%
126/183
Signal Processing";248;169;57;0,352;0,197;Cerebration Science Publishing
Management (France);1,5;"30.0%
158/225
General Business, Management and Accounting";155;102;46;0,562;0,461;DMSP Research Center
Sport Mont;1,5;"35.0%
165/254
Physical Therapy, Sports Therapy and Rehabilitation";440;292;58;0,338;0,251;Montenegrin Sports Academy
Journal of Financial Research;1,6;"36.0%
213/333
Finance";240;148;48;0,8;0,686;John Wiley & Sons
Business History Review;1,6;"91.0%
149/1850
History";161;103;51;1,426;0,352;Cambridge University Press
Journal of Economic Issues;1,6;"32.0%
492/731
Economics and Econometrics";549;335;52;0,671;0,371;Taylor & Francis
International Journal of Business Performance Management;1,6;"29.0%
351/496
Strategy and Management";190;117;50;0,368;0,219;Inderscience Publishers
International Journal of Technology, Policy and Management;1,6;"35.0%
223/344
General Engineering";130;79;54;0,446;0,23;Inderscience Publishers
International Journal of Process Management and Benchmarking;1,6;"28.0%
356/496
Strategy and Management";372;238;45;0,507;0,206;Inderscience Publishers
International Journal of Grid and Utility Computing;1,6;"35.0%
427/665
Applied Mathematics";333;213;51;0,318;0,214;Inderscience Publishers
International Journal of Entrepreneurship and Small Business;1,6;"31.0%
502/731
Economics and Econometrics";474;299;49;0,343;0,271;Inderscience Publishers
